Alcohol,Chlorides,Citric Acid,Density,Fixed Acidity,Free Sulfur Dioxide,Number of Records,P H,Quality,Residual Sugar,Sulphates,Total Sulfur Dioxide,Volatile Acidity
9.4,0.076,0,0.9978,7.4,11,1,3.51,5,1.9,0.56,34,0.7
9.8,0.098,0,0.9968,7.8,25,1,3.2,5,2.6,0.68,67,0.88
9.8,0.092,0.04,0.997,7.8,15,1,3.26,5,2.3,0.65,54,0.76
9.8,0.075,0.56,0.998,11.2,17,1,3.16,6,1.9,0.58,60,0.28
9.4,0.076,0,0.9978,7.4,11,1,3.51,5,1.9,0.56,34,0.7
9.4,0.075,0,0.9978,7.4,13,1,3.51,5,1.8,0.56,40,0.66
9.4,0.069,0.06,0.9964,7.9,15,1,3.3,5,1.6,0.46,59,0.6
10,0.065,0,0.9946,7.3,15,1,3.39,7,1.2,0.47,21,0.65
9.5,0.073,0.02,0.9968,7.8,9,1,3.36,7,2,0.57,18,0.58
10.5,0.071,0.36,0.9978,7.5,17,1,3.35,5,6.1,0.8,102,0.5
9.2,0.097,0.08,0.9959,6.7,15,1,3.28,5,1.8,0.54,65,0.58
10.5,0.071,0.36,0.9978,7.5,17,1,3.35,5,6.1,0.8,102,0.5
9.9,0.089,0,0.9943,5.6,16,1,3.58,5,1.6,0.52,59,0.615
9.1,0.114,0.29,0.9974,7.8,9,1,3.26,5,1.6,1.56,29,0.61
9.2,0.176,0.18,0.9986,8.9,52,1,3.16,5,3.8,0.88,145,0.62
9.2,0.17,0.19,0.9986,8.9,51,1,3.17,5,3.9,0.93,148,0.62
10.5,0.092,0.56,0.9969,8.5,35,1,3.3,7,1.8,0.75,103,0.28
9.3,0.368,0.28,0.9968,8.1,16,1,3.11,5,1.7,1.28,56,0.56
9,0.086,0.08,0.9974,7.4,6,1,3.38,4,4.4,0.5,29,0.59
9.2,0.341,0.51,0.9969,7.9,17,1,3.04,6,1.8,1.08,56,0.32
9.4,0.077,0.48,0.9968,8.9,29,1,3.39,6,1.8,0.53,60,0.22
